Condit,,1974
Crawford,,2161
Crowell,,2208
Culbreth,,2233
Cuthbert,,2285
Davidson,,2369
De Witt,,2548
Dowse,,2709
Earle,,2813
Elliott,,2913
Ervin,,2985
Fay,,3086
Folger,,3252
Ford,,3274
Fullerton,,3403
Gray,,3767
Gross,,3852
Guyon,,3886
Hackley,,3896
Hall,,3938
Hall,,3958
Hazard,,4253
Herrick,,4366
Hibshman,,4381
Hiester,,4394
Hostetter,,4596
Johnson,,4964
Kendall,,5167
King,,5270
Kinsey,,5284
Kinsley,,5287
Lanman,,5465
Linn,,5688
Logan,,5748
Lowrie,,5817
Lyman,,5849
Maclay,,5894
Marchand,,5976
Mason,,6058
McCreary,,6195
McCullough,,6207
McLean,,6332
Meigs,,6407
Merrill,,6430
Moore,,6647
Morton,,6743
Moseley,,6746
Murray,,6821
Parker,,7194
Parker,,7205
Parrott,,7216
Peek,,7301
Philson,,7421
Pinckney,,7455
Pindall,,7459
Pleasants,,7486
Quarles,,7667
Richards,,7872
Richmond,,7888
Ringgold,,7910
Sage,,8173
Sampson,,8190
Settle,,8370
Shaw,,8418
Simkins,,8513
Slocumb,,8585
Smith,,8602
Smith,,8603
Smith,,8642
Southard,,8748
Stevens,,8912
Street,,9022
Strong,,9040
Strother,,9042
Tarr,,9180
Taylor,,9233
Terrell,,9261
Tompkins,,9414
Trimble,,9477
Walker,,9737
Walker,,9740
Walker,,9749
Wallace,,9764
Wendover,,9951
Holmes,,4532
Mills,,6528
Talbot,,9159
Baldwin,,382
Barber,,417
Barbour,,420
Barstow,,481
Bates,,
Bayly,,533
Bigelow,,705
Blackledge,,755
Boardman,,810
Borland,,864
Breckinridge,,993
Bryan,,1171
Bullock,,
Burrows,,1308
Butler,,1342
Campbell,,1464
Cannon,,1485
Chambers,,1626
Colden,,1918
Conkling,,1982
Cosden,,2079
Crudup,,2220
Dane,,2318
Darlington,,2343
De Wolf,,2549
Denison,,2498
Duncan,,
Eustis,,3001
Findlay,,3146
Forrest,,3284
Gebhard,,3521
Gross,,3854
Harris,,4109
Hawkes,,4211
Hernández,,
Hill,,4419
Hubbard,,4674
Jackson,,4848
Jones,,5029
Jones,,5039
Keyes,,5226
Kirkland,,5292
Lowndes,,5815
McCarty,,6140
McSherry,,6384
Milnor,,6539
Montgomery,,6607
Moore,,6650
Moore,,6654
Murray,,6825
Nelson,,6865
Nelson,,6867
New,,6886
Overstreet,,7122
Patterson,,7256
Phillips,,7414
Pierson,,7444
Pinkney,,7463
Reed,,7792
Reid,,7813
Rhea,,7838
Robertson,,7962
Ruggles,,8108
Russ,,8122
Russell,,8133
Sibley,,
Smith,,8656
Spencer,,8782
Sterling,,8901
Tuthill,,
Upham,,9569
Van Rensselaer,,9631
Van Swearingen,,9635
Walker,,9738
Walworth,,9800
White,,10042
Whitman,,10069
Williamson,,10196
Woodson,,10358
Worman,,10374
Wright,,10396
Brown,,1107
Kelly,,5155
Lloyd,,5726
Rodney,,8013
Taylor,,9215
Abbott,,5
Ball,,398
Breck,,990
Brown,,1119
Burton,,1319
Cady,,1390
Call,,1423
Call,,
Chandler,,1635
Clark,,1779
Collins,,1945
Cushman,,2281
Durfee,,2788
Dwinell,,2802
Eaton,,2829
Eddy,,2841
Edwards,,2865
Ellis,,2926
Foote,,3257
Forward,,3293
Frost,,3379
Fuller,,3400
Gatlin,,3507
Gazlay,,3516
Harvey,,4164
Hayward,,4249
Herkimer,,4353
Hogeboom,,4503
Hooks,,4556
Jenkins,,4914
Johnson,,4973
Lawrence,,5515
Lee,,5560
Leftwich,,5584
Litchfield,,5696
Livermore,,5711
Longfellow,,5768
Matlack,,6078
Matson,,6080
McArthur,,6125
McIlvaine,,6274
Neale,,6852
Olin,,7056
Outlaw,,7119
Patterson,,7247
Patterson,,7253
Plumer,,7494
Prince,,7626
Reynolds,,7831
Rich,,7862
Richard,,
Richards,,7871
Rochester,,7998
Rogers,,8034
Ross,,8078
Sandford,,8202
Sharpe,,8409
Sibley,,8499
Smith,,8601
Spaight,,8757
Stephenson,,8894
Sterling,,8898
Stoddard,,8966
Thomas,,9297
Thompson,,9333
Tod,,9402
Tracy,,9447
Tucker,,9496
Tyson,,9545
Udree,,9550
Van Dyke,,9613
Van Wyck,,9644
Vance,,9598
Ware,,9827
Warfield,,9829
Wayne,,9886
White,,10016
Whitman,,10070
Williams,,10150
Williams,,10155
Williams,,10182
Wilson,,10226
Woods,,10357
Bouligny,,881
Cobb,,1873
Adams,,35
Alexander,,77
Allen,,124
Allison,,138
Ashley,,265
Badger,,331
Barton,,495
Baylies,,530
Bradley,,959
Campbell,,1460
Cary,,1561
Cassedy,,1583
Chambers,,1629
Cocke,,1887
Cook,,2015
Crump,,2223
Dietz,,2592
Eastman,,2825
Edwards,,2873
Edwards,,2876
Estil,,2995
Farrelly,,3070
Findlay,,3144
Fosdick,,3294
Gaillard,,3423
Garnett,,3485
Garrison,,3491
Gist,,3620
Govan,,3727
Harris,,4111
Hasbrouck,,4167
Hayden,,4229
Henry,,4335
Henry,,4342
Herrick,,4362
Hines,,4446
Hobart,,4467
Hugunin,,4709
Humphrey,,4726
Jennings,,4924
Johnson,,4951
Johnson,,4965
Kellogg,,5141
Kidder,,5228
Kittera,,5311
Krebs,,5365
Lathrop,,5491
Lincoln,,5667
Lloyd,,5724
Macon,,5895
Markley,,5985
Marks,,5986
Martin,,6038
McManus,,6348
McNeill,,6370
Meech,,6403
Meriwether,,6424
Miller,,6490
Mitchell,,6563
Peter,,7363
Plumer,,7492
Poinsett,,7503
Porter,,7541
Powell,,7569
Rankin,,7729
Ross,,8069
Rowan,,8087
Sands,,8206
Scott,,8302
Shannon,,8402
Smith,,8696
Taylor,,9228
Ten Eyck,,9254
Thomson,,9348
Trimble,,9472
White,,10010
Whitmore,,10071
Willey,,10127
Wilson,,10224
Wilson,,10237
Worthington,,10380
Wurts,,10402
Bateman,,509
Harper,,4091
Pickens,,7427
Rodney,,8014
Sanford,,8211
Smith,,8694
Addams,,45
Allen,,128
Anderson,,180
Baldwin,,385
Barker,,435
Barlow,,442
Barnard,,444
Barney,,451
Bartlett,,489
Bassett,,505
Bates,,511
Beecher,,576
Belden,,591
Blake,,775
Brent,,1008
Brown,,1134
Bryan,,1173
Buck,,1196
Buckner,,1213
Bunner,,1242
Burleigh,,1280
Carter,,1547
Chase,,1674
Conway,,
Culpepper,,2242
Davenport,,2358
Eaton,,2828
Ellis,,2925
Evans,,
Floyd,,3233
Floyd,,3234
Fort,,3291
Gale,,3431
Garnsey,,3486
Garrow,,3493
Haile,,3910
Hallock,,3964
Hamilton,,3991
Healy,,4263
Hobbie,,4470
Holcombe,,4513
Johnson,,4971
Keese,,5121
Kremer,,5367
Leffler,,5582
Little,,5704
Locke,,5733
Long,,5760
Marable,,5973
Markell,,5982
McHatton,,6268
McKee,,6289
McLane,,6323
McLean,,6340
Merwin,,6438
Miner,,6544
Mitchell,,6562
Mitchell,,6564
Moore,,6655
Muhlenberg,,6779
Noble,,6941
O'Brien,,7001
Oakley,,6994
Orr,,7088
Owen,,7130
Parris,,7212
Phelps,,7399
Plant,,7475
Ridgely,,7897
Ruggles,,8107
Sawyer,,8237
Seymour,,8385
Sinnickson,,8545
Sloane,,8582
Smith,,8678
Stevenson,,8920
Stower,,9007
Taber,,9146
Tattnall,,9188
Thompson,,9324
Tucker,,9495
Turner,,9513
Van Horne,,9620
Van Rensselaer,,9632
Wales,,9732
Weems,,9915
Whipple,,9999
Wilson,,10230
Wilson,,10258
Wood,,10327
Wood,,10333
Woodcock,,10342
Woods,,10355
Wright,,10392
Young,,10458
Burnet,,1287
Iredell,,4814
Prince,,7625
Jackson,,4843
Alston,,148
Arnold,,239
Bailey,,344
Barbour,,424
Bartley,,493
Baylor,,532
Beekman,,578
Bell,,611
Bibb,,685
Biddle,,
Borst,,867
Brown,,1105
Butman,,1358
Clark,,1768
Coleman,,1933
Cowles,,2109
Craig,,2133
Crocheron,,2184
Crowninshield,,2213
De Witt,,2545
Desha,,2528
Dickerson,,2561
Dickinson,,2574
Dorsey,,2674
Dudley,,2740
Dudley,,2741
Dwight,,2797
Eager,,2809
Earll,,2817
Finch,,3141
Fisher,,3166
Forward,,3292
Frelinghuysen,,3365
Fry,,3384
Goodenow,,3671
Green,,3778
Gurley,,3880
Halsey,,3970
Harvey,,4163
Hawkins,,4215
Hayne,,4237
Hemphill,,4298
Hinds,,4444
Holmes,,4534
Holmes,,4536
Ingham,,4811
Irwin,,4828
Jennings,,4926
Johns,,4937
Kincaid,,5248
King,,5268
Lea,,5534
Leiper,,5599
Livingston,,5715
Magee,,5907
Marr,,5989
Martin,,6042
Maxwell,,6099
McCreery,,6199
McLean,,6338
Miller,,6479
Monell,,6591
Norton,,6966
Overton,,7127
Pettis,,7381
Pierson,,7443
Powers,,7579
Reed,,7796
Richardson,,7881
Ripley,,7913
Rose,,8062
Sanford,,8210
Scott,,8303
Shields,,8469
Sill,,8509
Silsbee,,8510
Smyth,,8715
Spencer,,8781
Spencer,,8789
Sprague,,8803
Sprigg,,8809
Sterigere,,8897
Storrs,,8997
Strong,,9029
Swan,,9101
Tazewell,,9239
Test,,9266
Trezvant,,9466
Troup,,9482
Tucker,,9500
Varnum,,9649
Wilson,,10216
Wingate,,10271
Wolf,,10306
Yancey,,10410
Adams,,37
Baker,,360
Poindexter,,7501
Adair,,20
Alexander,,87
Allen,,125
Allison,,140
Anderson,,171
Angel,,206
Armstrong,,236
Babcock,,316
Barbour,,421
Barstow,,480
Bates,,514
Bergen,,663
Bethune,,677
Bouck,,876
Branch,,972
Brodhead,,1058
Bucher,,1191
Buckner,,1210
Cahoon,,1394
Carson,,1543
Chambers,,1627
Chandler,,1637
Coke,,1916
Collier,,1943
Condict,,1972
Condit,,1975
Cooke,,2027
Cooke,,2030
Cooper,,2054
Crawford,,2163
Creighton,,2172
Dallas,,2305
Daniel,,2323
Dayan,,2437
Dearborn,,2452
Dewart,,2537
Doddridge,,2637
Draper,,2718
Drayton,,2721
Evans,,3014
Findlay,,3143
Fitzgerald,,3186
Ford,,3269
Forsyth,,3287
Gaither,,3428
Gilmore,,3617
Hall,,3960
Hammons,,4016
Hanna,,4040
Hendricks,,4320
Hill,,4411
Hodges,,4480
